Species,Locomotor_type4,SkW,SL,OH,HL,Shoulder_Flexion,Shoulder_Extension,Shoulder_Adduction,Shoulder_Abduction,Shoulder_Medial_Rotation,Shoulder_Lateral_Rotation,DHW,OL,UL,Elbow_Flexors,Wrist_Extension,ML,Wrist_Flexion,MW,TML,HW,FeL,LL,FW,TPL,FoL2
Cryptomys,CT,26.1,32.44,6.158,17.52,10.13,7.347,10.13,10.13,3.421,2.519,5.428,6.087,16.37,5.627,2.622,14.55,1.915,4.649,2.861,11.65,18.75,17.14,5.394,2.465,23.028
Ctenomys_maulinus,SD,21.51,33.42,5.126,17,8.649,7.129,8.649,8.229,2.342,1.883,5.283,4.715,16.02,3.629,4.222,16.2,2.218,5.412,4.464,10.55,20.16,21.18,5.368,2.836,26.295
Dipodomys_deserti,RIC,28.96,40.48,7.426,15.45,5.841,5.365,5.841,5.019,1.98,1.108,4.774,3.307,21.14,2.405,1.044,11.04,1.755,4.07,3.524,15.34,30.91,43.36,7.978,5.054,48.077
Dipodomys_merriami,RIC,22.28,34.23,4.835,12.02,5.115,4.182,5.115,4.41,1.904,0.868,3.654,2.599,17.34,2.488,1.225,9.452,1.345,3.859,1.805,13.29,26.18,35.5,5.363,3.24,36.209
Dipodomys_panamintinus,RIC,24.65,38.72,4.918,15.07,7.281,4.448,7.281,7.215,2.713,1.212,4.804,3.636,19.47,2.792,2.526,10.44,1.847,4.672,4.003,15.06,29.04,38.96,6.715,3.527,41.778
Dipodomys_microps,RIC,23.42,37.07,4.807,13.77,5.822,4.887,5.908,5.639,2.068,1.467,4.045,2.719,17.45,2.361,2.096,9.506,1.947,3.866,3.137,15.56,26.42,35.33,6.706,3.451,41.393
Eospalax_rothschildi,SD,24.33,39.07,9.075,19.68,10.02,7.734,10.02,9.67,4.185,3.258,9.084,6.975,14.59,2.836,4.697,22.34,6.395,9.615,9.409,11.04,21.31,19.34,6.294,3.62,27.515
Georychus_capensis,CT,25.4,33.46,6.679,21.31,12.59,11.56,12.59,12.61,3.601,2.533,6.315,6.484,18.46,4.207,1.969,17.66,1.844,6.567,2.35,10.73,25.33,22.29,6.369,2.457,24.013
Heliophobius_argenteocinereus,CT,27.53,35.18,6.385,21.42,13.06,11.32,13.06,12.61,3.77,2.85,6.028,7.356,17.93,3.856,1.718,19.48,2.832,7.704,2.512,10.39,22.83,21.2,8.978,2.534,25.175
Heterocephalus_glaber,CT,19.39,21.4,4.162,15.43,8.776,6.365,8.776,8.776,1.392,1.49,4.056,4.131,11.64,5.174,1.331,13.15,1.856,4.919,1.488,8.773,15.35,16.11,5.18,1.538,22.538
Blanfordimys_juldaschi,CUR,17.18,28.29,2.111,13.09,6.824,5.712,6.824,6.211,2.462,1.187,3.467,2.487,12.8,3.733,1.121,9.747,1.891,3.442,2.117,8.655,15.79,19.44,2.706,2.003,18.673
Microtus_pennsylvanicus,CUR,13.56,26.65,3.522,14.37,6.265,4.092,6.265,6.265,1.979,1.056,3.566,2.607,15.09,3.434,1.188,9.501,1.194,3.737,1.03,8.414,19.29,22.88,3.346,1.694,20.765
Microtus_pinetorum,SD,13.02,21.27,2.636,10.16,4.571,3.013,4.571,4.241,1.584,1.034,3.045,2.579,10.12,1.861,1.196,7.791,1.382,2.627,1.93,5.143,10.3,12.25,2.923,1.818,13.463
Microtus_californicus,SD,15.83,27.19,3.51,15.52,7.79,5.17,7.79,7.79,2.93,0.96,3.35,2.92,14.88,2.12,1.12,8.68,0.71,3.11,2.03,8.14,18.12,21.03,4.78,2.45,19.19
Myospalax_aspalax,SD,24.84,38.65,12.44,22.78,14.11,9.328,14.11,14.11,5.166,3.407,11.63,8.656,16.34,3.915,3.326,23.78,5.699,11.04,15.42,16.73,26.53,25.66,7.739,4.578,29.119
Octodon_degus,SD,24.04,42.83,7.737,24.43,10.2,7.663,10.2,9.94,3.811,1.931,5.903,5.395,23.88,4.027,2.133,17.02,2.107,6.504,3.244,15.27,32.65,35.17,9.216,4.456,36.778
Pedetes_capensis,SD,102.6,153.1,17.27,83.18,43.15,37.71,43.15,36.64,8.485,7.26,28.98,17.65,99.17,19.09,6.747,53.95,19.24,27,26.2,104.3,205.2,248.3,37.99,28.04,273.21
Xerospermophilus_spilosoma,SD,21.03,38.41,6.178,21.84,9.588,6.087,9.588,8.936,2.345,1.348,5.66,4.692,20.74,4.307,2.732,17.77,2.739,5.342,3.725,13.73,26.91,28.96,6.79,2.832,29.775
Xerospermophilus_tereticaudus,SD,22.61,34.88,5.381,22.11,9.974,6.369,9.974,8.918,1.766,1.697,5.707,5.122,20.19,3.439,2.531,18.68,2.732,6.174,3.705,14.06,27.05,28.08,7.131,4.09,32.24
Tamias_palmeri,QC,19.9,36.05,5.518,19.53,7.997,5.439,7.997,7.685,1.681,1.104,5.111,3.868,20.67,3.177,2.381,16.82,1.604,4.798,2.372,10.36,25.41,27.93,6.516,2.618,32.112
