Species,Locomotor type,SkW,SL,OH,HL,Shoulder_Flexion,Shoulder_Extension,Shoulder_Adduction,Shoulder_Abduction,Shoulder_Medial_Rotation,Shoulder_Lateral_Rotation,DHW,OL,UL
Ammospermophilus_leucurus,CUR,1.357744325,1.575764981,0.759667845,1.33243846,0.966610987,0.841984805,0.966610987,0.966610987,0.075546961,-0.113509275,0.730782276,0.540329475,1.225825991
Cryptomys,CT,1.416640507,1.511080846,0.789439685,1.243534102,1.005609445,0.86611004,1.005609445,1.005609445,0.534153074,0.401228167,0.734639839,0.784403302,1.214048679
Ctenomys_maulinus,SD,1.33264041,1.524006446,0.709778602,1.230448921,0.936965897,0.853028615,0.936965897,0.915347062,0.369586891,0.27485032,0.722880611,0.673481697,1.204662512
Dipodomys_deserti,RIC,1.461798558,1.607240504,0.870754945,1.188928484,0.766487206,0.729569726,0.766487206,0.700617196,0.29666519,0.04453976,0.678882415,0.519434195,1.325104983
Dipodomys_merriami,RIC,1.347915187,1.534406899,0.684396478,1.079904468,0.708845638,0.621384028,0.708845638,0.644438589,0.279666944,-0.061480275,0.562768543,0.41480628,1.239049093
Dipodomys_panamintinus,RIC,1.391816924,1.587935349,0.691788524,1.178113252,0.862191031,0.648164779,0.862191031,0.858236335,0.433449794,0.08350262,0.681602999,0.560623875,1.289365952
Dipodomys_microps,RIC,1.369586891,1.569022586,0.681874122,1.13893394,0.765072201,0.689042339,0.771440487,0.751202095,0.315550534,0.166430114,0.606918526,0.434409208,1.241795431
Eospalax_rothschildi,SD,1.386142109,1.591843411,0.957846634,1.294025094,1.000867722,0.888404168,1.000867722,0.985426474,0.621695462,0.51295108,0.958277126,0.843544212,1.164055292
Georychus_capensis,CT,1.404833717,1.524525937,0.824711443,1.32858345,1.10002573,1.062957834,1.10002573,1.100715087,0.556423121,0.40363519,0.800373355,0.811843006,1.266231697
Heliophobius_argenteocinereus,CT,1.439806211,1.546295835,0.805160902,1.330819466,1.115943177,1.053846427,1.115943177,1.100715087,0.57634135,0.45484486,0.780173244,0.866641721,1.25358029
Heterocephalus_glaber,CT,1.287577809,1.330413773,0.619302076,1.188365926,0.943296615,0.803798408,0.943296615,0.943296615,0.143639235,0.173186268,0.608097946,0.616055195,1.06595298
Blanfordimys_juldaschi,CUR,1.235023159,1.451632947,0.324488233,1.116939647,0.834039018,0.756788199,0.834039018,0.793161529,0.391288049,0.074450719,0.539953842,0.395675785,1.10720997
Microtus_pennsylvanicus,CUR,1.13225969,1.425697213,0.546789352,1.157456768,0.796921075,0.611935625,0.796921075,0.796921075,0.296445794,0.023663918,0.552181339,0.416141031,1.17868924
Microtus_pinetorum,SD,1.114610984,1.32776749,0.420945406,1.006893708,0.660011221,0.478999132,0.660011221,0.627468272,0.199755177,0.014520539,0.483587297,0.411451342,1.005180513
Microtus_californicus,SD,1.199480915,1.434409208,0.545307116,1.190891717,0.891537458,0.713490543,0.891537458,0.891537458,0.46686762,-0.017728767,0.525044807,0.465382851,1.172602931
Myospalax_aspalax,SD,1.395151592,1.587149498,1.09482038,1.35755372,1.149527014,0.969788537,1.149527014,1.149527014,0.713154402,0.532372134,1.065579715,0.937317248,1.213252052
Octodon_degus,SD,1.380934463,1.631748074,0.888572597,1.387923467,1.008600172,0.884398826,1.008600172,0.997386384,0.581038949,0.285782274,0.771072783,0.731991449,1.378034322
Pedetes_capensis,SD,2.011147361,2.184975191,1.237292338,1.920018916,1.6349808,1.576456532,1.6349808,1.563955465,0.928651847,0.860936621,1.462098381,1.24674471,1.996380313
Xerospermophilus_spilosoma,SD,1.322839273,1.584444307,0.790847904,1.339252634,0.981728025,0.784403302,0.981728025,0.95114316,0.370142847,0.129689892,0.752816431,0.671358003,1.316808752
Xerospermophilus_tereticaudus,SD,1.354300562,1.542576476,0.730862992,1.344588743,0.998869364,0.804071249,0.998869364,0.950267468,0.246990699,0.229681842,0.756407873,0.709439574,1.305136319
Tamias_palmeri,QC,1.298853076,1.556905269,0.741781696,1.290702243,0.902927096,0.735519059,0.902927096,0.885643872,0.225567713,0.042969073,0.708505881,0.587486465,1.315340477
Thomomys_bottae,SD,1.41564098,1.590618948,0.787743772,1.356981401,1.101059355,0.889581802,1.101059355,1.089198367,0.589055531,0.371990911,0.858055718,0.830781076,1.358886204
Thomomys_mazama,SD,1.277838333,1.522835314,0.577721525,1.252124553,0.988603543,1.053462605,0.988737275,0.972573081,0.521661015,0.271841607,0.843793198,0.777426822,1.195622944
Thomomys_talpoides,SD,1.220369632,1.453624074,0.571592383,1.154423973,0.889189612,0.739967697,0.889189612,0.889189612,0.398113692,0.217747073,0.772541733,0.58410497,1.112939976
Jaculus_jaculus,SD,1.283753383,1.399154334,0.788239097,1.006893708,0.690018781,0.564547712,0.690018781,0.678609417,0.147367108,-0.052223292,0.516667559,0.411282913,1.120573931
Sciurus_vulgaris,QC,1.547651658,1.781252594,0.996073654,1.653309013,1.264817823,1.143639235,1.264817823,1.264817823,0.483729899,0.316808752,1.040997692,0.863501301,1.658964843
Marmota_caudata,SD,1.582290683,1.807737922,1.019531685,1.584444307,1.21005085,1.112605002,1.21005085,1.21005085,0.6349808,0.618780025,1.087426457,1.026941628,1.41447195
Nannospalax_leucodon,CT,1.558588583,1.667359546,1.172018809,1.371437317,1.190051418,0.931915317,1.190051418,1.195899652,0.698796252,0.549738731,0.891593204,1.032618761,1.2929203
Microtus_chrotorrhinus,CUR,1.41480628,1.663983455,0.660865478,1.384890797,1.072617477,0.897682062,1.072617477,1.059941888,0.534280005,0.369215857,0.767675224,0.697490887,1.363423933
Saccostomus_campestris,SD,1.207365037,1.510276844,0.672467313,1.229937686,0.934801342,0.751740874,0.934801342,0.921426341,0.28645647,0.031408464,0.630427875,0.559906625,1.257678575
Nesomys_rufus,CUR,1.376029182,1.672282625,0.726482697,1.411788005,1.051538391,0.781036939,1.051538391,1.036628895,0.379486814,0.166430114,0.734959761,0.67182056,1.436480695
Pachyuromys_duprasi,CUR,1.342225229,1.545059585,0.692141609,1.182414652,0.835500328,0.743039155,0.835500328,0.835753968,0.383456297,0.230704314,0.633165354,0.520876382,1.295127085
Meriones_unguiculatus,SD,1.247727833,1.539577883,0.43917474,1.206825876,0.891481704,0.651181062,0.891481704,0.889917683,0.39880773,0.183554534,0.619510721,0.526855987,1.239799818
Deomys_ferrugineus,CUR,1.208978517,1.564073979,0.585122186,1.267406419,0.950997334,0.736874362,0.950997334,0.851074805,0.15715444,0.175801633,0.621902961,0.542949849,1.310480891
Rattus_leucopus,CUR,1.122215878,1.323458367,0.464042205,1.077004327,0.825036441,0.673020907,0.825036441,0.824321125,0.286905353,0.057666104,0.561459171,0.526985069,1.099680641
Rhabdomys_pumilio,CUR,1.205204364,1.455606113,0.736635498,1.172894698,0.833975371,0.719828286,0.833975371,0.817961805,0.311753861,-0.031750606,0.522965595,0.505692507,1.167317335
